query,intent,entities
"What is my current balance?",get_balance,"[]"
"Show me the balance for checking account",get_balance,"[{'entity': 'account_type', 'value': 'checking'}]"
"Can I transfer money to my savings account?",transfer_money,"[{'entity': 'account_type', 'value': 'savings'}]"
"I need to check my last 3 transactions.",get_transactions,"[{'entity': 'transaction_count', 'value': '3'}]"
"How do I open a new credit card?",open_account,"[{'entity': 'product', 'value': 'credit card'}]"
"Show me balance of my savings account 12345",get_balance,"[{'entity': 'account_type', 'value': 'savings'}, {'entity': 'account_number', 'value': '12345'}]"
"Check my balance on account 98765",get_balance,"[{'entity': 'account_number', 'value': '98765'}]"
"I want to know the balance.",get_balance,"[]"
"Can you check my credit card balance?",get_balance,"[{'entity': 'account_type', 'value': 'credit card'}]"
"Move $100 from checking to savings.",transfer_money,"[{'entity': 'amount', 'value': '100'}, {'entity': 'source_account', 'value': 'checking'}, {'entity': 'destination_account', 'value': 'savings'}]"
"I want to transfer funds.",transfer_money,"[]"
"Transfer money to John's account tomorrow.",transfer_money,"[{'entity': 'recipient', 'value': 'John'}, {'entity': 'timeframe', 'value': 'tomorrow'}]"
"Send $50 to external bank.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'destination_type', 'value': 'external bank'}]"
"What were my purchases last week?",get_transactions,"[{'entity': 'timeframe', 'value': 'last week'}]"
"Show me deposits from last month.",get_transactions,"[{'entity': 'transaction_type', 'value': 'deposits'}, {'entity': 'timeframe', 'value': 'last month'}]"
"I need my transaction history.",get_transactions,"[]"
"Tell me about opening a joint account.",open_account,"[{'entity': 'product', 'value': 'joint account'}]"
"How can I apply for a mortgage?",open_account,"[{'entity': 'product', 'value': 'mortgage'}]"
"I want to open a business account.",open_account,"[{'entity': 'product', 'value': 'business account'}]"
"Can I talk to a human?",contact_support,"[]"
"What is the phone number for support?",contact_support,"[{'entity': 'channel', 'value': 'phone number'}]"
"Where can I find an ATM?",contact_support,"[{'entity': 'location_type', 'value': 'ATM'}]"
"I forgot my password.",contact_support,"[{'entity': 'problem', 'value': 'forgot password'}]"
"I need help with a transaction.",contact_support,"[]"
"What is the balance on account 112233?",get_balance,"[{'entity': 'account_number', 'value': '112233'}]"
"How much is in my retirement account?",get_balance,"[{'entity': 'account_type', 'value': 'retirement'}]"
"Transfer $300 from savings.",transfer_money,"[{'entity': 'amount', 'value': '300'}, {'entity': 'source_account', 'value': 'savings'}]"
"I want to send money now.",transfer_money,"[{'entity': 'timeframe', 'value': 'now'}]"
"Show my debit card activity.",get_transactions,"[{'entity': 'account_type', 'value': 'debit card'}]"
"Are there any fees for transactions?",get_transactions,"[{'entity': 'query_type', 'value': 'fees'}]"
"Tell me the steps for a new car loan.",open_account,"[{'entity': 'product', 'value': 'car loan'}]"
"Do you have a chat feature?",contact_support,"[{'entity': 'channel', 'value': 'chat'}]"
"I have a technical problem.",contact_support,"[{'entity': 'problem', 'value': 'technical problem'}]"
"What's my balance?",get_balance,"[]"
"Savings account balance please.",get_balance,"[{'entity': 'account_type', 'value': 'savings'}]"
"Transfer $25 from checking.",transfer_money,"[{'entity': 'amount', 'value': '25'}, {'entity': 'source_account', 'value': 'checking'}]"
"I need transaction details for November.",get_transactions,"[{'entity': 'timeframe', 'value': 'November'}]"
"How do I open an IRA?",open_account,"[{'entity': 'product', 'value': 'IRA'}]"
"Get me a live agent.",contact_support,"[{'entity': 'agent_type', 'value': 'live'}]"
"Balance of account number 54321",get_balance,"[{'entity': 'account_number', 'value': '54321'}]"
"Transfer $1000 today.",transfer_money,"[{'entity': 'amount', 'value': '1000'}, {'entity': 'timeframe', 'value': 'today'}]"
"Recent account activity.",get_transactions,"[]"
"Open a student account.",open_account,"[{'entity': 'product', 'value': 'student account'}]"
"I have a fraudulent charge.",contact_support,"[{'entity': 'problem', 'value': 'fraudulent charge'}]"
"Can I see my primary account balance?",get_balance,"[{'entity': 'account_type', 'value': 'primary'}]"
"Transfer money to my friend.",transfer_money,"[{'entity': 'recipient_type', 'value': 'friend'}]"
"Show me withdrawals only.",get_transactions,"[{'entity': 'transaction_type', 'value': 'withdrawals'}]"
"New home equity loan application.",open_account,"[{'entity': 'product', 'value': 'home equity loan'}]"
"Connect me with someone.",contact_support,"[]"
"What is the current balance in my main account?",get_balance,"[{'entity': 'account_type', 'value': 'main'}]"
"I need to move funds between accounts.",transfer_money,"[]"
"Show me the last 10 entries.",get_transactions,"[{'entity': 'transaction_count', 'value': '10'}]"
"Where can I find assistance?",contact_support,"[]"
"What's the balance on my line of credit?",get_balance,"[{'entity': 'account_type', 'value': 'line of credit'}]"
"Transfer $50 from checking to account 778899.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'source_account', 'value': 'checking'}, {'entity': 'destination_account', 'value': '778899'}]"
"Show me transactions from February to March.",get_transactions,"[{'entity': 'timeframe', 'value': 'February to March'}]"
"I want to apply for a small business loan.",open_account,"[{'entity': 'product', 'value': 'small business loan'}]"
"I can't log in.",contact_support,"[{'entity': 'problem', 'value': 'login'}]"
"Check balance for my main checking.",get_balance,"[{'entity': 'account_type', 'value': 'main checking'}]"
"Move $20 to my savings account immediately.",transfer_money,"[{'entity': 'amount', 'value': '20'}, {'entity': 'destination_account', 'value': 'savings'}, {'entity': 'timeframe', 'value': 'immediately'}]"
"Need to see spending history.",get_transactions,"[]"
"I want to open a new certificate of deposit.",open_account,"[{'entity': 'product', 'value': 'certificate of deposit'}]"
"Call me back.",contact_support,"[{'entity': 'action', 'value': 'call back'}]"
"Balance of my kids' savings.",get_balance,"[{'entity': 'account_type', 'value': 'kids'}]"
"Transfer $75 next week.",transfer_money,"[{'entity': 'amount', 'value': '75'}, {'entity': 'timeframe', 'value': 'next week'}]"
"Recent activity on my visa.",get_transactions,"[{'entity': 'account_type', 'value': 'visa'}]"
"I need to apply for a personal loan.",open_account,"[{'entity': 'product', 'value': 'personal loan'}]"
"Where is the closest branch?",contact_support,"[{'entity': 'location_type', 'value': 'branch'}]"
"How much do I owe on my mortgage?",get_balance,"[{'entity': 'account_type', 'value': 'mortgage'}]"
"Transfer all available funds.",transfer_money,"[{'entity': 'amount', 'value': 'all available funds'}]"
"Show me payments made.",get_transactions,"[{'entity': 'transaction_type', 'value': 'payments'}]"
"Tell me about refinancing my home.",open_account,"[{'entity': 'product', 'value': 'refinancing'}]"
"I need the fraud department.",contact_support,"[{'entity': 'department', 'value': 'fraud'}]"
"Current amount in checking.",get_balance,"[{'entity': 'account_type', 'value': 'checking'}]"
"Schedule a monthly transfer of $50.",transfer_money,"[{'entity': 'frequency', 'value': 'monthly'}, {'entity': 'amount', 'value': '50'}]"
"Show me transactions between $20 and $50.",get_transactions,"[{'entity': 'amount_range', 'value': '20 and 50'}]"
"Open a new CD.",open_account,"[{'entity': 'product', 'value': 'CD'}]"
"I got an incorrect statement.",contact_support,"[{'entity': 'problem', 'value': 'incorrect statement'}]"
"What's the balance on account 123?",get_balance,"[{'entity': 'account_number', 'value': '123'}]"
"Transfer $10 to my wife's account.",transfer_money,"[{'entity': 'amount', 'value': '10'}, {'entity': 'recipient', 'value': 'wife'}]"
"Give me a list of my transactions.",get_transactions,"[]"
"Apply for a new MasterCard.",open_account,"[{'entity': 'product', 'value': 'MasterCard'}]"
"Need customer care.",contact_support,"[]"
"How much money do I have?",get_balance,"[]"
"Transfer funds to external bank account 998877.",transfer_money,"[{'entity': 'destination_account', 'value': '998877'}]"
"Show me purchases from this weekend.",get_transactions,"[{'entity': 'timeframe', 'value': 'this weekend'}]"
"I need to discuss opening a trust.",open_account,"[{'entity': 'product', 'value': 'trust'}]"
"I have a dispute.",contact_support,"[{'entity': 'problem', 'value': 'dispute'}]"
"What is the available credit?",get_balance,"[{'entity': 'account_type', 'value': 'credit'}]"
"Transfer 20 dollars now.",transfer_money,"[{'entity': 'amount', 'value': '20'}, {'entity': 'timeframe', 'value': 'now'}]"
"Show me all transactions from 2023.",get_transactions,"[{'entity': 'timeframe', 'value': '2023'}]"
"I want to open a vacation club savings.",open_account,"[{'entity': 'product', 'value': 'vacation club savings'}]"
"I can't access my app.",contact_support,"[{'entity': 'problem', 'value': 'app access'}]"
"Current balance for account 45678.",get_balance,"[{'entity': 'account_number', 'value': '45678'}]"
"Move $500 between my accounts.",transfer_money,"[{'entity': 'amount', 'value': '500'}]"
"What did I spend at the grocery store?",get_transactions,"[{'entity': 'category', 'value': 'grocery store'}]"
"How to get a home loan pre-approval.",open_account,"[{'entity': 'product', 'value': 'home loan pre-approval'}]"
"Help me please.",contact_support,"[]"
"Check my secondary account balance.",get_balance,"[{'entity': 'account_type', 'value': 'secondary'}]"
