query,intent,entities
Request a new chequebook,request_chequebook,{}
There is an unauthorized transaction on my account,dispute_transaction,{}
Show account statement for 27/11/2026,statement_request,{'date': '27/11/2026'}
Block my debit card,block_card,{}
Show balance of account 418762374,check_balance,{'account_number': '418762374'}
Send 41433 to Maya today,transfer_money,"{'amount': '41433', 'person': 'Maya'}"
Tell me my savings balance,check_balance,{}
Withdraw 28733 from my checking account,withdraw_money,"{'account_type': 'checking', 'amount': '28733'}"
Play music,out_of_scope,{}
I want to change PIN,change_pin,{}
Pay 33729 for electricity,pay_bill,"{'amount': '33729', 'bill_type': 'electricity'}"
Send me last 6 months statement,statement_request,{}
Request a new chequebook,request_chequebook,{}
Deposit 23256 into my fd account,deposit_money,"{'account_type': 'fd', 'amount': '23256'}"
Tell me FD rates,interest_rate,{}
I need my bank statement,statement_request,{}
How to close my account?,close_account,{}
How do I complete KYC?,kyc_update,{}
Update my KYC documents,kyc_update,{}
I want to withdraw 49104,withdraw_money,{'amount': '49104'}
Block my debit card,block_card,{}
Change my phone number,update_details,{}
Show account statement for 29/08/2026,statement_request,{'date': '29/08/2026'}
Deposit ₹16192 into my rd account,deposit_money,"{'account_type': 'rd', 'amount': '16192'}"
I want to change PIN,change_pin,{}
Tell me FD rates,interest_rate,{}
Pay 32497 for mobile,pay_bill,"{'amount': '32497', 'bill_type': 'mobile'}"
Convert 100 USD to INR,forex_inquiry,{}
Create standing instruction for EMI,standing_instruction,{}
I need my bank statement,statement_request,{}
Show my account balance,check_balance,{}
What is the savings interest rate?,interest_rate,{}
Deposit ₹61136 into my salary account,deposit_money,"{'account_type': 'salary', 'amount': '61136'}"
Deposit 83571 into my nri account,deposit_money,"{'account_type': 'nri', 'amount': '83571'}"
Locate branch in Jaipur,branch_locator,{'location': 'Jaipur'}
Show my account balance,check_balance,{}
Show loan interest rates,loan_inquiry,{}
Remove beneficiary Teja,beneficiary_remove,{'person': 'Teja'}
Stop cheque number 250861,stop_cheque,{'cheque_number': '250861'}
Play music,out_of_scope,{}
Remove beneficiary Meena,beneficiary_remove,{'person': 'Meena'}
Show balance of account 807247702,check_balance,{'account_number': '807247702'}
Set up a standing instruction to pay rent of 96256 monthly,standing_instruction,{'amount': '96256'}
Check cashback offers,cashback_inquiry,{}
How do I complete KYC?,kyc_update,{}
Play music,out_of_scope,{}
How do I complete KYC?,kyc_update,{}
Change my phone number,update_details,{}
Please transfer 80146 to Ravi's account 173242379,transfer_money,"{'account_number': '173242379', 'amount': '80146', 'person': 'Ravi'}"
Check cashback offers,cashback_inquiry,{}
Card not working,card_inquiry,{}
What is the savings interest rate?,interest_rate,{}
Set up a standing instruction to pay rent of 9899 monthly,standing_instruction,{'amount': '9899'}
Add payee Kabir account 458479929,beneficiary_add,"{'account_number': '458479929', 'person': 'Kabir'}"
Tell me FD rates,interest_rate,{}
See you later,goodbye,{}
Delete payee Neha,beneficiary_remove,{'person': 'Neha'}
Card not working,card_inquiry,{}
Update my KYC documents,kyc_update,{}
Close my joint account,close_account,{'account_type': 'joint'}
Tell me FD rates,interest_rate,{}
Convert 100 USD to INR,forex_inquiry,{}
Add a beneficiary named Rohit account 808281285,beneficiary_add,"{'account_number': '808281285', 'person': 'Rohit'}"
I need my bank statement,statement_request,{}
"Forgot PIN, how to reset?",pin_reset,{}
Pay my rent bill of 84709,pay_bill,"{'amount': '84709', 'bill_type': 'rent'}"
How do I get cashback on my card?,cashback_inquiry,{}
Add payee Maya account 367911802,beneficiary_add,"{'account_number': '367911802', 'person': 'Maya'}"
Transfer ₹217 on 09/04/2023 to account 845066299,transfer_money,"{'account_number': '845066299', 'amount': '217', 'date': '09/04/2023'}"
How do I complete KYC?,kyc_update,{}
What is my account balance as on 16/08/2026,check_balance,{'date': '16/08/2026'}
What is today's forex rate for USD?,forex_inquiry,{}
Withdraw 86474 from ATM,withdraw_money,{'amount': '86474'}
There is an unauthorized transaction on my account,dispute_transaction,{}
Send 75434 to Arjun today,transfer_money,"{'amount': '75434', 'person': 'Arjun'}"
How do I complete KYC?,kyc_update,{}
How can I open an account?,open_account,{}
What is today's forex rate for USD?,forex_inquiry,{}
Remove beneficiary Kavita,beneficiary_remove,{'person': 'Kavita'}
Create standing instruction for EMI,standing_instruction,{}
Tell me FD rates,interest_rate,{}
Show my recent card transactions,card_inquiry,{}
See you later,goodbye,{}
Check cashback offers,cashback_inquiry,{}
How to close my account?,close_account,{}
Reset my ATM PIN,pin_reset,{}
Where is the nearest branch?,branch_locator,{}
I want to withdraw 22860,withdraw_money,{'amount': '22860'}
Show my recent card transactions,card_inquiry,{}
Show my account balance,check_balance,{}
Pay electricity bill 77614 on 02/11/2023,pay_bill,"{'amount': '77614', 'date': '02/11/2023', 'bill_type': 'electricity'}"
Pay my electricity bill of 74079,pay_bill,"{'amount': '74079', 'bill_type': 'electricity'}"
Show my account balance,check_balance,{}
Stop cheque number 151295,stop_cheque,{'cheque_number': '151295'}
How can I open an account?,open_account,{}
What is the savings interest rate?,interest_rate,{}
Reset my ATM PIN,pin_reset,{}
Open a new salary account,open_account,{'account_type': 'salary'}
Open fixed deposit account,open_account,{}
Add a beneficiary named Vikram account 47090354,beneficiary_add,"{'account_number': '47090354', 'person': 'Vikram'}"
Deposit 41702 to account 74966719,deposit_money,"{'account_number': '74966719', 'amount': '41702'}"
Open a new nri account,open_account,{'account_type': 'nri'}
"I lost my card, block it immediately",block_card,{}
